sello,zona_horaria_corregida,split,n_train,n_val,MAE_clamp,RMSE_clamp,sMAPE_clamp,MAE_naive24,skill_vs_naive24_pct,MAE_h1,skill_h1_pct,MAE_h1a6,skill_h1a6_pct,MAE_cv,imp_ALLSKY,imp_T2M,imp_WS50M,MAE_02jul,MAE_11feb,MAE_13jul,MAE_17sep,refit_con_val,epocas_usadas,epoca_mejor,MAE_sin_refit,ratio_std,MAE_combi,skill_combi_pct
20260831_202635,0,train 2021-2024 (val DENTRO de train) / val 2024 / test 2025,34896,8784,20.7502,27.8373,61.0164,19.7694,-4.96115,17.5926,11.1663,18.7276,5.43066,6.98472,1.4433,2.14275,0.739906,9.20121,12.529,14.8836,31.2302,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20260831_212730,1,train 2021-2024 (val DENTRO de train) / val 2024 / test 2025,34892,8783,21.1249,28.3735,61.9628,19.7704,-6.85137,17.5274,11.4998,19.1362,3.37222,7.46233,2.24586,2.10897,0.444474,9.51801,16.3764,13.0687,19.3418,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20260831_231441,1,train 2021-2023 / val 2024 / test 2025+,26109,8783,25.35726,32.16101,66.23929,19.7703739258324,-28.2589,20.5314044952393,-3.66807081362326,21.9388055801392,-10.7795720649281,23.8628692626953,2.73263502120972,0.0384487137198448,0.587507605552673,11.6988677978516,19.0037899017334,26.0435485839844,23.6599102020264,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20260831_232450,1,train 2021-2023 / val 2024 / test 2025+,26109,8783,20.75117,27.11177,57.69554,19.7703739258324,-4.960944,17.9672260284424,9.27909190660391,19.4926827748617,1.57207746298502,NaN,2.00092744827271,0.633362174034119,0.303288638591766,10.69384765625,14.0372076034546,23.1925430297852,24.1800327301025,1,3,1,25.72806,NaN,NaN,NaN
20260831_234401,1,train 2021-2023 / val 2024 / test 2025+,26109,8783,20.90864,27.53358,58.19516,19.7703739258324,-5.757442,18.1794757843018,8.20739110183403,19.810905456543,-0.0347817787014804,NaN,0.962302386760712,0.937469840049744,0.0055084228515625,7.74472188949585,16.7620716094971,27.0507297515869,26.5808658599854,1,20,5,28.84351,0.7732087,NaN,NaN
20260901_000951,1,train 08-Jan-2021..30-Sep-2024 / val 01-Oct-2024..31-Dec-2024 / test 01-Jan-2025..31-Dec-2025,32684,2208,22.79843,30.90248,64.54578,19.7703739258324,-15.31614,19.6591644287109,0.7360821026716,20.88995997111,-5.48344656228854,NaN,1.81165385246277,0.550033926963806,-0.20657654106617,8.83268451690674,13.5354156494141,24.5376758575439,24.7753276824951,1,23,8,23.00302,0.8343365,21.94976237168,-11.0235064547769
20260901_004330,1,train 08-Jan-2021..31-Dec-2023 / val 01-Jan-2024..31-Dec-2024 / test 01-Jan-2025..31-Dec-2025,26109,8783,21.16623,27.9356,58.49237,19.7703739258324,-7.060368,19.3768615722656,2.16149810475986,20.3690115610758,-2.85292769832014,21.8028988838196,1.52090334892273,0.444655984640121,0.210652157664299,9.0358943939209,18.6421508789062,22.2538623809814,25.9874629974365,1,19,4,26.40152,0.7917508,18.4651404502274,6.60196656118619
20260901_225538,1,train 08-Jan-2021..31-Dec-2023 / val 01-Jan-2024..31-Dec-2024 / test 01-Jan-2025..31-Dec-2025,26109,8783,21.16623,27.9356,58.49237,19.7703739258324,-7.060368,19.3768615722656,2.16149810475986,20.3690115610758,-2.85292769832014,NaN,1.54940378665924,0.430348962545395,0.214562222361565,9.0358943939209,18.6421508789062,22.2538623809814,25.9874629974365,0,NaN,NaN,NaN,0.7917508,18.4651404502274,6.60196656118619
20260902_010126,1,train 08-Jan-2021..31-Dec-2023 / val 01-Jan-2024..31-Dec-2024 / test 01-Jan-2025..31-Dec-2025,26109,8783,21.16623,27.9356,58.49237,19.7703739258324,-7.060368,19.3768615722656,2.16149810475986,20.3690115610758,-2.85292769832014,NaN,1.50916981697083,0.436792373657227,0.201717376708984,9.0358943939209,18.6421508789062,22.2538623809814,25.9874629974365,0,NaN,NaN,NaN,0.7917508,18.4651404502274,6.60196656118619
