Version,Escenario,N,Coste_Neto_media,Coste_Neto_std,Coste_Neto_ic95,coste_H2_kg_media,coste_H2_kg_std,coste_H2_kg_ic95,Autoconsumo_pct_media,Autoconsumo_pct_std,Autoconsumo_pct_ic95,Autarquia_pct_media,Autarquia_pct_std,Autarquia_pct_ic95,E_Import_Red_media,E_Import_Red_std,E_Import_Red_ic95,E_Export_Red_media,E_Export_Red_std,E_Export_Red_ic95,E_Comp_media,E_Comp_std,E_Comp_ic95,kg_H2_EL_media,kg_H2_EL_std,kg_H2_EL_ic95,kg_H2_Dem_media,kg_H2_Dem_std,kg_H2_Dem_ic95,Conmutaciones_El_media,Conmutaciones_El_std,Conmutaciones_El_ic95,Conmutaciones_FC_media,Conmutaciones_FC_std,Conmutaciones_FC_ic95,LOH_High_media_media,LOH_High_media_std,LOH_High_media_ic95,LOH_High_min_media,LOH_High_min_std,LOH_High_min_ic95,pct_tiempo_critico_media,pct_tiempo_critico_std,pct_tiempo_critico_ic95,pct_tiempo_LOH_negativo_media,pct_tiempo_LOH_negativo_std,pct_tiempo_LOH_negativo_ic95,mae_prevision_precio_media,mae_prevision_precio_std,mae_prevision_precio_ic95,balance_pct_media,balance_pct_std,balance_pct_ic95,t_run_El_pct_media,t_run_El_pct_std,t_run_El_pct_ic95,E_Bat_carga_media,E_Bat_carga_std,E_Bat_carga_ic95,E_Bat_desc_media,E_Bat_desc_std,E_Bat_desc_ic95,coste_energia_H2_media,coste_energia_H2_std,coste_energia_H2_ic95,Coste_Import_media,Coste_Import_std,Coste_Import_ic95,Ingreso_Export_media,Ingreso_Export_std,Ingreso_Export_ic95,precio_medio_import_media,precio_medio_import_std,precio_medio_import_ic95,dSOC_pct_media,dSOC_pct_std,dSOC_pct_ic95,d_kg_H2_high_media,d_kg_H2_high_std,d_kg_H2_high_ic95,d_kg_H2_low_media,d_kg_H2_low_std,d_kg_H2_low_ic95,dias_sim_media,dias_sim_std,dias_sim_ic95,dE_bat_kWh_media,dE_bat_kWh_std,dE_bat_kWh_ic95,precio_valoracion_media,precio_valoracion_std,precio_valoracion_ic95,V_terminal_media,V_terminal_std,V_terminal_ic95,Coste_corregido_media,Coste_corregido_std,Coste_corregido_ic95,kg_H2_no_servido_media,kg_H2_no_servido_std,kg_H2_no_servido_ic95,Coste_H2_deficit_media,Coste_H2_deficit_std,Coste_H2_deficit_ic95,Coste_total_H2_media,Coste_total_H2_std,Coste_total_H2_ic95,kg_H2_high_ini_media,kg_H2_high_ini_std,kg_H2_high_ini_ic95,kg_H2_high_fin_media,kg_H2_high_fin_std,kg_H2_high_fin_ic95,LOH_High_fin_media,LOH_High_fin_std,LOH_High_fin_ic95,bar_H2_high_fin_media,bar_H2_high_fin_std,bar_H2_high_fin_ic95,valor_H2_rem_media,valor_H2_rem_std,valor_H2_rem_ic95,valor_bat_rem_media,valor_bat_rem_std,valor_bat_rem_ic95,SOC_fin_pct_media,SOC_fin_pct_std,SOC_fin_pct_ic95
A,E1_lab_soleado,10,-201.838961892511,25.8486695408211,18.4910242661799,4.43542708047228,0.198969271905299,0.142334042733411,36.6334555842478,5.25874921334516,3.76188256653426,94.9031264416483,6.02984282751488,4.31348970858045,87.5755598679923,107.555569231272,76.9406192251961,2783.11505104199,230.968947735106,165.225231827086,37.5304016671039,8.77769024517045,6.27918133535402,24.7574496036606,5.70365691573294,4.0801503639569,22.45710959016,6.66564919552194,4.76831818479442,5.1,1.44913767461894,1.03665064324093,0,0,0,82.8026528952074,4.49502593871923,3.21554784778007,53.7575284980862,8.71844707738369,6.23680132614618,15.1424173331327,12.0131093272403,8.59366071942197,0,0,0,10.4585706562763,0,0,3.03729225514655e-15,2.66608846047461e-16,1.90720479212921e-16,36.5886968900823,8.95537463885421,6.4062890934589,213.839637769865,11.8698343559448,8.49116797925296,63.584540634373,41.1412468924955,29.4306750847908,110.036576499525,26.6755427337748,19.0825337151214,10.2085435368924,12.3661979534227,8.84624510658121,212.047505429403,18.6448886229101,13.3377498374526,111.069660096575,9.26899633534834,6.63064053990822,14.7374569297741,4.51007101236476,3.22631044511324,-0.269170868339689,3.29102507616469,2.35425751595704,2.5434711763903,0.59308035641141,0.424264128754445,1,0,0,147.374569297741,45.1007101236476,32.2631044511324,111.069660096575,9.26899633534834,6.63064053990822,12.6352902587451,23.9811202680568,17.1550599966675,-214.474252151256,40.2505143639341,28.7934834191117,0,0,0,0,0,0,-214.474252151256,40.2505143639341,28.7934834191117,16.0128675758634,3.74488903314848e-15,2.67893223195657e-15,15.7436967075237,3.29102507616469,2.35425751595704,78.6552271562132,16.4419024166556,11.7618284410504,550.586590093493,115.093316916589,82.3327990873525,125.94957366019,26.3282006093175,18.8340601276563,94.1806034070053,9.95012847224694,7.11789311791719,84.7374569297741,4.51007101236476,3.22631044511324
A_8,E1_lab_soleado,10,-201.838961892511,25.8486695408211,18.4910242661799,4.43542708047228,0.198969271905299,0.142334042733411,36.6334555842478,5.25874921334516,3.76188256653426,94.9031264416483,6.02984282751488,4.31348970858045,87.5755598679923,107.555569231272,76.9406192251961,2783.11505104199,230.968947735106,165.225231827086,37.5304016671039,8.77769024517045,6.27918133535402,24.7574496036606,5.70365691573294,4.0801503639569,22.45710959016,6.66564919552194,4.76831818479442,5.1,1.44913767461894,1.03665064324093,0,0,0,82.8026528952074,4.49502593871923,3.21554784778007,53.7575284980862,8.71844707738369,6.23680132614618,15.1424173331327,12.0131093272403,8.59366071942197,0,0,0,9.41130395253499,0,0,3.03729225514655e-15,2.66608846047461e-16,1.90720479212921e-16,36.5886968900823,8.95537463885421,6.4062890934589,213.839637769865,11.8698343559448,8.49116797925296,63.584540634373,41.1412468924955,29.4306750847908,110.036576499525,26.6755427337748,19.0825337151214,10.2085435368924,12.3661979534227,8.84624510658121,212.047505429403,18.6448886229101,13.3377498374526,111.069660096575,9.26899633534834,6.63064053990822,14.7374569297741,4.51007101236476,3.22631044511324,-0.269170868339689,3.29102507616469,2.35425751595704,2.5434711763903,0.59308035641141,0.424264128754445,1,0,0,147.374569297741,45.1007101236476,32.2631044511324,111.069660096575,9.26899633534834,6.63064053990822,12.6352902587451,23.9811202680568,17.1550599966675,-214.474252151256,40.2505143639341,28.7934834191117,0,0,0,0,0,0,-214.474252151256,40.2505143639341,28.7934834191117,16.0128675758634,3.74488903314848e-15,2.67893223195657e-15,15.7436967075237,3.29102507616469,2.35425751595704,78.6552271562132,16.4419024166556,11.7618284410504,550.586590093493,115.093316916589,82.3327990873525,125.94957366019,26.3282006093175,18.8340601276563,94.1806034070053,9.95012847224694,7.11789311791719,84.7374569297741,4.51007101236476,3.22631044511324
A_8_semana,E1_lab_soleado,5,-662.338420791027,62.3538377376168,77.422515468638,2.65247449662331,0.304196677912438,0.37771006333706,33.2793889724294,2.71891860384612,3.37598334444217,92.232764167151,2.65622936762939,3.29814437675696,832.162671999616,282.259359698246,350.471285093359,20260.4752698316,825.63067522188,1025.15588523567,275.895320382492,22.899305597988,28.4332433448876,167.699079757558,12.7344080698283,15.8118560387412,167.99281980096,13.466888654483,16.7213508100903,33.6,1.51657508881031,1.88307668834844,0,0,0,79.3425066641885,2.45079514744537,3.04306410155541,34.6589992848366,6.29822636975851,7.82028093586673,27.9433400407737,8.33436410723246,10.3484798598722,0,0,0,17.5982677559626,0,0,2.96637901455414e-15,1.25901803084277e-16,1.56327736198686e-16,35.0874089163212,1.91699647021023,2.38026550174373,555.862623329704,105.450706877721,130.934346315204,387.579028440049,128.912317519321,160.065783588753,444.199010632535,55.1191912240039,68.4395153529545,94.0229656470771,29.8419811471311,37.0537136254682,756.361386438104,47.0890549230728,58.4687842074192,113.538952386716,3.97949944435733,4.94120119093038,16.4839903567992,3.20745563055461,3.98258218229561,-2.79712138625257,4.26941000117201,5.30117269202637,2.50696218709022,0.721509970526949,0.895872954748371,7,0,0,164.839903567992,32.0745563055461,39.8258218229561,113.538952386716,3.97949944435733,4.94120119093038,-5.58575687751912,31.9562403049513,39.6789131046061,-656.752663913508,83.0744664596853,103.150574172977,0,0,0,0,0,0,-656.752663913508,83.0744664596853,103.150574172977,16.0128675758634,0,0,13.2157461896108,4.26941000117201,5.30117269202637,66.0256315840956,21.3298960024244,26.4845639516408,462.179421088669,149.309272016971,185.391947661486,105.725969516887,34.155280009376,42.409381536211,98.1341713512582,3.31598987593515,4.11734524735684,86.4839903567992,3.20745563055461,3.98258218229561
A_factor3,E1_lab_soleado,1,311.287236583815,0,NaN,2.82118358724809,0,NaN,80.8731310353032,0,NaN,81.8522888040714,0,NaN,5430.0917619284,0,NaN,5808.09212745996,0,NaN,9.53278250812254,0,NaN,341.328794908248,0,NaN,513.862507636799,0,NaN,24,0,NaN,0,0,NaN,3.85501357861484,0,NaN,-32.4790303200371,0,NaN,95.1947830774089,0,NaN,9.81430255571667,0,NaN,17.5982677559626,0,NaN,3.48366856953643e-15,0,NaN,73.3752093663866,0,NaN,2672.78999298385,0,NaN,2606.28289753189,0,NaN,962.951194050319,0,NaN,514.522503962613,0,NaN,203.235267378798,0,NaN,94.7539243388199,0,NaN,6.33386762009508,0,NaN,-16.0109312731802,0,NaN,-154.494175136383,0,NaN,7,0,NaN,63.3386762009508,0,NaN,94.7539243388199,0,NaN,-122.686020866222,0,NaN,433.973257450038,0,NaN,473.042308435198,0,NaN,3784.33846748159,0,NaN,4218.31172493162,0,NaN,16.0128675758634,0,NaN,0.00193630268317971,0,NaN,0.00967373357210969,0,NaN,0.0677161350047678,0,NaN,0.0154904214654377,0,NaN,72.3293351696399,0,NaN,76.3338676200951,0,NaN
A_factorB,E1_lab_soleado,1,-219.312087401916,0,NaN,2.64982809995005,0,NaN,58.112870127337,0,NaN,87.8755539461574,0,NaN,2414.52751643346,0,NaN,12719.5051999543,0,NaN,338.146536632262,0,NaN,223.372050296228,0,NaN,226.7611065888,0,NaN,41,0,NaN,0,0,NaN,73.8985864512211,0,NaN,3.86350616425771,0,NaN,26.1216499311344,0,NaN,0,0,NaN,17.5982677559626,0,NaN,3.68886123424354e-15,0,NaN,46.0885481340143,0,NaN,1775.42908369923,0,NaN,1628.80391678791,0,NaN,591.897535618402,0,NaN,288.550229720155,0,NaN,507.862317122071,0,NaN,119.505877550064,0,NaN,14.2732964783206,0,NaN,-4.82616142710645,0,NaN,1.47707232140766,0,NaN,7,0,NaN,142.732964783206,0,NaN,119.505877550064,0,NaN,-23.2576060262861,0,NaN,-196.05448137563,0,NaN,0,0,NaN,0,0,NaN,-196.05448137563,0,NaN,16.0128675758634,0,NaN,11.186706148757,0,NaN,55.8885838317627,0,NaN,391.220086822339,0,NaN,89.4936491900556,0,NaN,100.711542496784,0,NaN,84.2732964783206,0,NaN
A_semana,E1_lab_soleado,5,-662.338420791027,62.3538377376168,77.422515468638,2.65247449662331,0.304196677912438,0.37771006333706,33.2793889724294,2.71891860384612,3.37598334444217,92.232764167151,2.65622936762939,3.29814437675696,832.162671999616,282.259359698246,350.471285093359,20260.4752698316,825.63067522188,1025.15588523567,275.895320382492,22.899305597988,28.4332433448876,167.699079757558,12.7344080698283,15.8118560387412,167.99281980096,13.466888654483,16.7213508100903,33.6,1.51657508881031,1.88307668834844,0,0,0,79.3425066641885,2.45079514744537,3.04306410155541,34.6589992848366,6.29822636975851,7.82028093586673,27.9433400407737,8.33436410723246,10.3484798598722,0,0,0,17.5982677559626,0,0,2.96637901455414e-15,1.25901803084277e-16,1.56327736198686e-16,35.0874089163212,1.91699647021023,2.38026550174373,555.862623329704,105.450706877721,130.934346315204,387.579028440049,128.912317519321,160.065783588753,444.199010632535,55.1191912240039,68.4395153529545,94.0229656470771,29.8419811471311,37.0537136254682,756.361386438104,47.0890549230728,58.4687842074192,113.538952386716,3.97949944435733,4.94120119093038,16.4839903567992,3.20745563055461,3.98258218229561,-2.79712138625257,4.26941000117201,5.30117269202637,2.50696218709022,0.721509970526949,0.895872954748371,7,0,0,164.839903567992,32.0745563055461,39.8258218229561,113.538952386716,3.97949944435733,4.94120119093038,-5.58575687751912,31.9562403049513,39.6789131046061,-656.752663913508,83.0744664596853,103.150574172977,0,0,0,0,0,0,-656.752663913508,83.0744664596853,103.150574172977,16.0128675758634,0,0,13.2157461896108,4.26941000117201,5.30117269202637,66.0256315840956,21.3298960024244,26.4845639516408,462.179421088669,149.309272016971,185.391947661486,105.725969516887,34.155280009376,42.409381536211,98.1341713512582,3.31598987593515,4.11734524735684,86.4839903567992,3.20745563055461,3.98258218229561
A_semana_s6a10,E1_lab_soleado,5,-653.971176241859,26.8857254670479,33.3830373780234,2.66578106383451,0.164233043292683,0.203922257171965,34.2404700708955,2.62537257028773,3.25983060239795,92.7950752970868,4.8302907765524,5.99759815810082,786.390037268307,529.733043448805,657.750448709292,19968.6320218774,797.224354141913,989.884779029262,276.011798540973,15.6332515504203,19.4112456250201,173.534301920175,9.23238277654558,11.4635173112732,169.46882700384,8.28899213289672,10.2921431128121,31.8,4.32434966208793,5.3693892910592,0,0,0,77.5264830324143,3.41417031678886,4.23925236609266,19.9969492285694,13.7544226873444,17.0783714669526,29.9798446100453,4.72463620012137,5.86641067430094,0.00509258417231453,0.0113873643904348,0.0141392803980304,17.5982677559626,0,0,2.98924686730162e-15,9.00723272165461e-17,1.11839565939214e-16,36.1648542247781,2.59687697265813,3.22444864471398,545.563215126734,95.2280727637031,118.241269569019,366.404156615301,115.609821778158,143.548553540692,461.597759512779,15.8516490422134,19.6824219278775,88.2101449430608,55.9229392730071,69.4375003690283,742.18132118492,48.7362238530659,60.5140145667514,114.680636292287,9.74377155309075,12.0984903441948,17.5414903141544,3.28713185052965,4.08151327615158,1.77406948490186,2.25660081457217,2.80193998977155,2.24372253840799,0.724644882488049,0.899765462068007,7,0,0,175.414903141544,32.8713185052965,40.8151327615158,114.680636292287,9.74377155309075,12.0984903441948,32.4958546130327,15.5511341219563,19.3092833704712,-686.467030854892,39.6350727800287,49.2134429371476,0.280001366400116,0.626102089063486,0.777408423190297,2.24001093120093,5.00881671250789,6.21926738552238,-684.227019923691,41.0282712181247,50.9433272800852,16.0128675758634,0,0,17.7869370607653,2.25660081457217,2.80193998977155,88.8632194152456,11.2739373076368,13.9984420728989,622.042535906719,78.9175611534574,97.989094510292,142.295496486122,18.0528065165774,22.4155199181724,100.613443997732,11.752153190523,14.5922255180479,87.5414903141544,3.28713185052965,4.08151327615158
A_umbral8,E1_lab_soleado,10,-201.838961892511,25.8486695408211,18.4910242661799,4.43542708047228,0.198969271905299,0.142334042733411,36.6334555842478,5.25874921334516,3.76188256653426,94.9031264416483,6.02984282751488,4.31348970858045,87.5755598679923,107.555569231272,76.9406192251961,2783.11505104199,230.968947735106,165.225231827086,37.5304016671039,8.77769024517045,6.27918133535402,24.7574496036606,5.70365691573294,4.0801503639569,22.45710959016,6.66564919552194,4.76831818479442,5.1,1.44913767461894,1.03665064324093,0,0,0,82.8026528952074,4.49502593871923,3.21554784778007,53.7575284980862,8.71844707738369,6.23680132614618,15.1424173331327,12.0131093272403,8.59366071942197,0,0,0,9.41130395253499,0,0,3.03729225514655e-15,2.66608846047461e-16,1.90720479212921e-16,36.5886968900823,8.95537463885421,6.4062890934589,213.839637769865,11.8698343559448,8.49116797925296,63.584540634373,41.1412468924955,29.4306750847908,110.036576499525,26.6755427337748,19.0825337151214,10.2085435368924,12.3661979534227,8.84624510658121,212.047505429403,18.6448886229101,13.3377498374526,111.069660096575,9.26899633534834,6.63064053990822,14.7374569297741,4.51007101236476,3.22631044511324,-0.269170868339689,3.29102507616469,2.35425751595704,2.5434711763903,0.59308035641141,0.424264128754445,1,0,0,147.374569297741,45.1007101236476,32.2631044511324,111.069660096575,9.26899633534834,6.63064053990822,12.6352902587451,23.9811202680568,17.1550599966675,-214.474252151256,40.2505143639341,28.7934834191117,0,0,0,0,0,0,-214.474252151256,40.2505143639341,28.7934834191117,16.0128675758634,3.74488903314848e-15,2.67893223195657e-15,15.7436967075237,3.29102507616469,2.35425751595704,78.6552271562132,16.4419024166556,11.7618284410504,550.586590093493,115.093316916589,82.3327990873525,125.94957366019,26.3282006093175,18.8340601276563,94.1806034070053,9.95012847224694,7.11789311791719,84.7374569297741,4.51007101236476,3.22631044511324
B,E1_lab_soleado,10,-197.542477826622,25.7847937609938,18.4453302859562,4.4465771710533,0.196993044495907,0.140920334808334,37.0478825749429,5.231350699954,3.74228285076657,92.4496003212828,5.54760895575181,3.96852037812176,124.260023863119,103.425487531664,73.9861367591584,2764.91304861317,229.765580631879,164.364394859374,37.6140839108794,8.73237275384279,6.24676315497151,24.8194066958616,5.68195809507041,4.06462796274454,22.45710959016,6.66564919552194,4.76831818479442,5.1,1.44913767461894,1.03665064324093,0,0,0,82.9561058485132,4.47515041215052,3.20132975258934,54.1280130985049,8.69592971861027,6.22069337804339,14.9723961528223,11.9788500308738,8.56915309517248,0,0,0,9.41130395253499,0,0,2.77662860045529e-15,3.55627378694071e-16,2.54400501301048e-16,36.3140472911193,8.94277642699892,6.39727687560534,265.40405343324,11.973066019034,8.56501546235866,63.5845152252099,41.1412244888848,29.4306590582131,110.576908639454,26.5890982680216,19.0206950695619,13.0203861000372,12.0309906757904,8.60645226559534,210.562863926659,18.6082484877646,13.3115390637406,94.5052157325729,16.4795567095833,11.7887646995356,19.7311621465122,4.48279993937565,3.20680189471725,-0.219606110947248,3.20339706799551,2.29157221515677,2.55513632183609,0.578454876670392,0.413801690818574,1,0,0,197.311621465122,44.8279993937565,32.0680189471725,94.5052157325729,16.4795567095833,11.7887646995356,15.0721664708539,22.2920399102177,15.9467646979479,-212.614644297476,38.4487691879715,27.5045925646875,0,0,0,0,0,0,-212.614644297476,38.4487691879715,27.5045925646875,16.0128675758634,3.74488903314848e-15,2.67893223195657e-15,15.7932614649162,3.20339706799551,2.29157221515677,78.9028517976217,16.0041144551726,11.4486537994527,552.319962583352,112.028801186209,80.1405765961689,126.346091719329,25.6271765439641,18.3325777212541,84.8525569666142,15.7048371468468,11.2345637101415,89.7311621465122,4.48279993937565,3.20680189471725
B_oraculo,E1_lab_soleado,10,-201.555851259111,25.8539912856679,18.4948312131079,4.44410577149159,0.19725090725578,0.141104798714402,36.5653192647117,5.24936102199103,3.75516665901451,94.7065532272995,6.02547167138877,4.31036277185856,90.5554091075474,107.880357795036,77.172958967265,2786.10765886323,230.556610011775,164.930263189108,37.5233659765785,8.78661636933811,6.28556669992091,24.7573177690804,5.70359108078207,4.08010326847014,22.45710959016,6.66564919552194,4.76831818479442,5.1,1.44913767461894,1.03665064324093,0,0,0,82.8613656754034,4.49499196811137,3.21552354667113,53.7726827850599,8.73829436740211,6.25099922212566,15.0074651913751,11.9975727392623,8.5825465139167,0,0,0,1.57674153496619e-06,2.23212780544071e-22,1.59676804063116e-22,3.02927814010212e-15,2.66686313426445e-16,1.90775896037465e-16,36.3150889457298,8.93447170513355,6.39133603546678,213.67903517556,11.8352475776603,8.46642608855186,63.584540691467,41.1412470133095,29.4306751712159,110.247242474658,26.700990143338,19.1007376952915,10.5364083218291,12.4016476434169,8.87160428713313,212.09225958094,18.6246277655606,13.3232560932268,112.50544237054,7.34386311749936,5.25348319760642,14.7227283235487,4.51889989606216,3.23262624803818,-0.269196753064075,3.29109974742897,2.35431093256162,2.54336808906298,0.593198569499648,0.424348693303493,1,0,0,147.227283235487,45.1889989606216,32.3262624803818,112.50544237054,7.34386311749936,5.25348319760642,12.7964618401718,24.2001238458679,17.3117257184869,-214.352313099283,40.4536063045783,28.9387666413985,0,0,0,0,0,0,-214.352313099283,40.4536063045783,28.9387666413985,16.0128675758634,3.74488903314848e-15,2.67893223195657e-15,15.7436708227993,3.29109974742897,2.35431093256162,78.6550978365932,16.4422754729564,11.7620953094514,550.585684856152,115.095928310695,82.3346671661599,125.949366582395,26.3287979794317,18.834487460493,95.3649606201382,8.61994220935295,6.16633518852866,84.7227283235487,4.51889989606216,3.23262624803818
