Version,Escenario,Semilla,E_imp,E_imp_con_excedente,E_imp_en_deficit,imp_a_EV,imp_a_EL,imp_a_Comp,imp_a_Bateria,E_exp,Coste_Import,Ingreso_Export,p_imp,p_exp,Coste_imp_EL,p_imp_EL
A_8_semana,E1_lab_soleado,1,762.216293392062,43.9179374801785,718.298355911883,162.569751029787,576.114484059687,19.122203652937,4.40985464958274,20968.6499712816,89.2981310350688,828.645088797327,117.155893686907,39.518285151034,67.0664852615718,116.411732593454
A_8_semana,E1_lab_soleado,2,752.810877425617,118.499941497893,634.310935927724,156.217614374288,578.860368522982,12.0643762107798,5.66851831748156,20322.5213111351,81.6071735293732,718.880070660203,108.403286903139,35.3735670714399,63.1343544463267,109.066638311101
A_8_semana,E1_lab_soleado,3,1327.71300331627,83.3884036779307,1244.32459963834,245.966268100841,1047.70998169864,29.2815249376587,4.75522857900563,20638.2138626434,146.285286687644,720.502037529904,110.178394217924,34.9110655759829,115.293977696822,110.043790467565
A_8_semana,E1_lab_soleado,4,697.716093909426,152.658663874346,545.05743003508,151.818178097234,520.682226714678,17.3853441534251,7.83034494405397,20515.7118965293,81.3107871104789,778.159870321389,116.53850014392,37.9299472641274,61.0417864146208,117.234242466414
A_8_semana,E1_lab_soleado,5,622.462166683629,22.8953703043173,599.566796379311,95.7343199757838,511.779086808262,13.10170865383,1.84705124572071,18843.0911946679,71.8109722635097,735.023171086239,115.366003119685,39.0075685296387,59.0524391104461,115.386581110084
A_8_semana,E2_lab_nublado,1,1951.87495029615,104.33793541269,1847.53701488346,371.32157564241,1529.72076104129,43.3583171265706,7.47429648572478,4060.24514371175,278.828259731503,312.139458589925,142.851497576316,76.8769981963643,218.669396198892,142.947263165888
A_8_semana,E2_lab_nublado,2,1446.81221732149,56.7348032505463,1390.07741407094,338.736629674762,1073.67771868975,28.7039047940437,5.69396416285255,3551.53715210509,220.500223507732,237.26308182336,152.404175792729,66.805744009387,161.805461935865,150.702076721237
A_8_semana,E2_lab_nublado,3,2499.35284008263,139.299877635859,2360.05296244677,556.544563911533,1870.50149861576,55.8889527726643,16.4178247825453,3291.70733141965,388.678645380056,242.706275691447,155.511714531353,73.7326412268772,291.712655757073,155.954248618861
A_8_semana,E2_lab_nublado,4,2815.99443900659,180.839021576101,2635.15541743049,630.398447207385,2106.61153472736,67.0827202092996,11.9017368623846,4562.94844340063,417.859529011662,312.355085518595,148.387909870685,68.4546602691407,315.706193295566,149.864456778656
A_8_semana,E2_lab_nublado,5,1834.59935320709,238.401281766778,1596.19807144031,435.944401461739,1345.12609746495,35.3745515963061,18.1543026839735,2301.87898154293,266.804900476196,170.442075248303,145.429518444881,74.0447593530988,195.84150154316,145.593414559606
A_8_semana,E3_finde_soleado,1,911.758668486453,59.2855134589003,852.473155027553,169.926664109555,715.449357799007,22.4233436008318,3.9593029769751,21318.1967796533,106.937036023744,953.14011440695,117.286558077109,44.7101658859183,84.105961392313,117.556834002975
A_8_semana,E3_finde_soleado,2,598.559970534039,104.88534322051,493.674627313528,99.6008649733305,481.975794462268,11.2178345783974,5.76547651995818,21830.991961137,70.3002516244377,1018.68560026573,117.448969335045,46.6623597351493,56.7335563803265,117.710385110985
A_8_semana,E3_finde_soleado,3,1252.63721004147,38.1959746585073,1214.44123538296,286.155577670838,932.564890752166,28.5309807880092,5.38576083037004,21298.2796808615,141.416907954502,1019.1300696182,112.89534337705,47.8503468303117,105.193713256395,112.800422039854
A_8_semana,E3_finde_soleado,4,1069.48922942618,122.372814067419,947.116415358763,238.730486873168,801.804527786822,22.0368413433211,6.91737342280294,21957.8607393481,101.712931919544,1007.07282239777,95.1042134142074,45.8638860293487,76.2925173825455,95.1510184073563
