Version,Escenario,KPI,N,Ref_media,Ver_media,Dif,Dif_mediana,Dif_pct,Gana_ver,p_t,p_rank
A_factorB,TODOS,E_Import_Red,4,1211.68650182934,3255.86514983483,2044.17864800548,1834.63240646,168.705242232152,0,0.00667233119540223,NaN
A_factorB,TODOS,E_Export_Red,4,14459.8626057635,7985.50122616025,-6474.3613796032,-7010.28789294099,-44.7747088345268,NaN,0.00747528375560313,NaN
A_factorB,TODOS,Autarquia_pct,4,88.0294462827611,82.4351383031267,-5.59430797963436,-5.25413718691178,-6.35504165465812,0,0.0173072082593511,NaN
A_factorB,TODOS,Autoconsumo_pct,4,43.3240967529507,71.580347772424,28.2562510194733,28.3122711657212,65.2206350211996,4,0.000834017458588132,NaN
A_factorB,TODOS,coste_H2_kg,4,3.06409349744337,3.249912858899,0.185819361455633,0.211461327441698,6.06441551508392,1,0.261181467274674,NaN
A_factorB,TODOS,kg_H2_EL,4,160.923966040454,208.196739193557,47.2727731531023,65.0054415854814,29.375843956778,3,0.082006225905751,NaN
A_factorB,TODOS,E_Comp,4,249.293387704612,257.009433830989,7.71604612637684,65.3240106947038,3.09516678216897,1,0.912104114333806,NaN
A_factorB,TODOS,t_run_El_pct,4,35.4826628924225,46.8647125252769,11.3820496328544,13.3373622067424,32.0777774412336,NaN,0.0177071614397162,NaN
A_factorB,TODOS,Conmutaciones_El,4,32.5,33.25,0.75,0,2.30769230769231,2,0.76798613866158,NaN
A_factorB,TODOS,LOH_High_media,4,73.5085336876468,56.2659978643824,-17.2425358232643,-7.15524423537713,-23.4565090041538,0,0.225461913481092,NaN
A_factorB,TODOS,LOH_High_min,4,22.6161620644416,-5.97490674812355,-28.5910688125651,-27.7381062225077,-126.418747491722,0,0.00167995347730399,NaN
A_factorB,TODOS,pct_tiempo_critico,4,41.4862078601061,49.3741329792775,7.88792511917143,4.82431411323724,19.0133673961476,1,0.430608180179816,NaN
B_prima2_semana,TODOS,Coste_Neto,20,-390.84732222864,-389.825474002075,1.02184822656479,1.15563273380141,0.261444346282875,1,1.89101642302791e-05,0.000363481868201754
B_prima2_semana,TODOS,Coste_corregido,20,-376.72070143246,-375.606432206838,1.11426922562261,1.15580306304309,0.295781256879608,1,2.48128611124443e-06,0.000235745358564439
B_prima2_semana,TODOS,Coste_total_H2,20,-375.04069323406,-374.006424398837,1.03426883522261,1.06075408005545,0.275775096911185,1,1.32002964270406e-06,0.000235745358564439
B_prima2_semana,TODOS,V_terminal,20,-14.1266207961795,-14.2190417952373,-0.0924209990578055,-0.0882886478233988,-0.654232886910934,3,0.0703386937070256,0.0105491877123423
B_prima2_semana,TODOS,E_Import_Red,20,1320.32199568236,1335.04453827563,14.7225425932693,11.9176577394666,1.1150721294816,2,0.000418753489155765,0.000481928896718161
B_prima2_semana,TODOS,E_Export_Red,20,14013.8609636433,14028.483866477,14.6229028336516,11.0978999592362,0.104345996236072,NaN,0.000448470526331235,0.000553830376860923
B_prima2_semana,TODOS,Autarquia_pct,20,87.6524265794056,87.516124672051,-0.136301907354582,-0.108037408955155,-0.155502719860362,2,0.000422229749437175,0.000635624201131428
B_prima2_semana,TODOS,Autoconsumo_pct,20,45.5954824389406,45.5258789357803,-0.069603503160293,-0.0707872410313648,-0.152654384682743,2,0.00103658486861091,0.000953358041013402
B_prima2_semana,TODOS,coste_H2_kg,20,3.11633217669612,3.11640487713823,7.27004421142263e-05,0.000986487296973815,0.00233288487850811,9,0.966456810332506,0.588284480889313
B_prima2_semana,TODOS,kg_H2_EL,20,167.884805061268,167.892621760899,0.00781669963151472,0.000132985482736103,0.00465598993825683,11,0.0905031881696297,0.211064231877061
B_prima2_semana,TODOS,E_Comp,20,261.075556546122,261.262345526112,0.186788979990166,0.0566954143326512,0.0715459472580565,4,0.0205898833301053,0.00160712458710071
B_prima2_semana,TODOS,t_run_El_pct,20,36.7335371469293,36.7125302372185,-0.0210069097107962,-0.0118220704000116,-0.057187277192423,NaN,0.413426766704274,0.667686215745583
B_prima2_semana,TODOS,Conmutaciones_El,20,32.1,32.1,0,0,0,4,1,1
B_prima2_semana,TODOS,LOH_High_media,20,73.9158633635564,73.9928315353779,0.0769681718214418,0.0469108503006694,0.104129436252233,20,0.00077983756965283,9.56917315705946e-05
B_prima2_semana,TODOS,LOH_High_min,20,21.7995380237983,22.1274678894965,0.327929865698158,0.000477684271519507,1.5042973174026,10,0.169206830932894,0.165028888868398
B_prima2_semana,TODOS,pct_tiempo_critico,20,38.8248365991458,38.6995226529057,-0.125313946240167,-0.0849866319665455,-0.322767478802278,20,0.000883993825517182,9.56917315705946e-05
C,TODOS,Coste_Neto,20,-390.84732222864,-387.95602094371,2.89130128492968,3.22259211409714,0.739752102801491,6,0.0152394206822439,0.0144735765347585
C,TODOS,Coste_corregido,20,-376.72070143246,-379.027055112616,-2.30635368015643,-1.19084017603797,-0.612218460888039,13,0.0249497983732365,0.0382688764522297
C,TODOS,Coste_total_H2,20,-375.04069323406,-377.235046367657,-2.19435313359713,-1.19084017603797,-0.585097343617497,13,0.0675456431083914,0.0418880664903521
C,TODOS,V_terminal,20,-14.1266207961795,-8.92896583109338,5.19765496508612,4.4892921586703,36.7933353636264,20,4.16572976114082e-09,9.56917315705946e-05
C,TODOS,E_Import_Red,20,1320.32199568236,1375.20447654389,54.8824808615254,60.8177181209999,4.15674972021967,1,5.0013702445062e-05,0.000129926100333739
C,TODOS,E_Export_Red,20,14013.8609636433,14014.1459768652,0.285013221906956,-12.6138166280698,0.0020337951307379,NaN,0.977387972080262,1
C,TODOS,Autarquia_pct,20,87.6524265794056,87.1536614900863,-0.498765089319246,-0.413613564343322,-0.569025991388165,1,7.78992432102221e-05,0.000175476155215645
C,TODOS,Autoconsumo_pct,20,45.5954824389406,45.6148306846393,0.0193482456986441,0.0442585591901832,0.0424345673380129,11,0.731919053067405,0.837314554360899
C,TODOS,coste_H2_kg,20,3.11633217669612,3.17395267938784,0.0576205026917266,0.0574913160323229,1.84898462117138,0,6.87450096847897e-12,9.56917315705946e-05
C,TODOS,kg_H2_EL,20,167.884805061268,168.094334128166,0.209529066897933,0.000995239183652075,0.12480525966687,14,0.0680815204962515,0.0130419205139312
C,TODOS,E_Comp,20,261.075556546122,262.566477377164,1.49092083104191,0.761679016885097,0.571068716951494,5,0.00434584023590934,0.00108844053343019
C,TODOS,t_run_El_pct,20,36.7335371469293,37.7010537350302,0.967516588100879,0.984621387861459,2.63387809409952,NaN,6.56823062605838e-09,9.56917315705946e-05
C,TODOS,Conmutaciones_El,20,32.1,32.25,0.15,0,0.467289719626168,7,0.634155049665859,0.592162588779202
C,TODOS,LOH_High_media,20,73.9158633635564,74.5423471369684,0.626483773411929,0.452090075442165,0.847563357720057,20,3.78864388883571e-06,9.56917315705946e-05
C,TODOS,LOH_High_min,20,21.7995380237983,22.9305146270937,1.13097660329533,0.0636549091746557,5.1880760136323,13,0.0230518637737303,0.0080269529452589
C,TODOS,pct_tiempo_critico,20,38.8248365991458,38.0228289966452,-0.802007602500657,-0.600445435771435,-2.0657076056266,20,6.60912893746257e-07,9.56917315705946e-05
C_factor3,TODOS,Coste_Neto,4,-438.335033753515,408.114076856564,846.449110610079,842.582130578579,193.105511864255,0,0.00327131473657283,NaN
C_factor3,TODOS,Coste_corregido,4,-411.744495024921,544.657050348961,956.401545373881,949.894386092351,232.280347868645,0,0.00226047112822703,NaN
C_factor3,TODOS,Coste_total_H2,4,-407.744475504918,4440.03605970575,4847.78053521067,4827.58035935484,1188.92611094425,0,1.92863875227989e-05,NaN
C_factor3,TODOS,V_terminal,4,-26.5905387285947,-136.542973492397,-109.952434763802,-112.592614013833,-413.502095185318,0,0.000632198280528407,NaN
