Version,Escenario,Fecha,Semilla,Archivo,Coste_Neto,coste_H2_kg,Autoconsumo_pct,Autarquia_pct,E_Import_Red,E_Export_Red,E_Comp,kg_H2_EL,kg_H2_Dem,Conmutaciones_El,Conmutaciones_FC,LOH_High_media,LOH_High_min,pct_tiempo_critico,pct_tiempo_LOH_negativo,mae_prevision_precio,balance_pct,t_run_El_pct,E_Bat_carga,E_Bat_desc,coste_energia_H2,Coste_Import,Ingreso_Export,precio_medio_import,dSOC_pct,d_kg_H2_high,d_kg_H2_low,dias_sim,dE_bat_kWh,precio_valoracion,V_terminal,Coste_corregido,kg_H2_no_servido,Coste_H2_deficit,Coste_total_H2,kg_H2_high_ini,kg_H2_high_fin,LOH_High_fin,bar_H2_high_fin,valor_H2_rem,valor_bat_rem,SOC_fin_pct
A,E1_lab_soleado,02-07-2025,1,A_E1_lab_soleado_s1_20260902_011739.mat,-217.655707229437,4.38944412511343,34.5448574130082,99.6823322525221,4.37532498263474,2874.84814236882,33.0922248143855,22.1374876101166,15.600076128,4,0,86.9949707384887,58.5722670292606,6.95246582794181,0,10.4585706562763,2.76644993038402e-15,30.8769574426222,219.008449560369,74.7196464702117,97.1712649349974,0.428428399780456,218.084135629218,97.9192177680167,14.166396842144,3.4046022637804,3.05595991596184,1,141.66396842144,97.9192177680167,39.7212805866096,-257.376987816047,0,0,-257.376987816047,16.0128675758634,19.4174698396438,97.0093320145218,679.065324101653,155.33975871715,82.4150774113522,84.166396842144
A,E1_lab_soleado,02-07-2025,2,A_E1_lab_soleado_s2_20260902_011801.mat,-240.994191428353,4.34605959146145,28.7973233106347,99.7619454080244,2.5305088547466,3127.28495763432,25.3787781514782,16.183512809333,13.4100654408,4,0,87.5740345829549,60.7446639203033,9.22327287878612,0,10.4585706562763,2.68594937465168e-15,22.4719621300679,230.728792564293,26.3893901841617,70.334511068541,0.264624216242882,241.258815644596,104.573519174419,20.0010824758989,1.03170439116502,1.71903037527721,1,200.010824758989,104.573519174419,27.0778873655432,-268.072078793896,0,0,-268.072078793896,16.0128675758634,17.0445719670284,85.1543766850112,596.080636795078,136.356575736227,94.1172992401191,90.0010824758989
A,E1_lab_soleado,02-07-2025,3,A_E1_lab_soleado_s3_20260902_011822.mat,-181.304271572243,4.59843011883674,36.6262159634968,84.452950773962,270.240968318288,2783.43302163139,41.2011242025218,27.6218714230422,25.4801243424,6,0,77.1753818772752,35.8780242076973,24.6154558396315,0,10.4585706562763,3.32275819611827e-15,43.6707908473282,204.355805422611,63.6727055036377,127.017245490353,29.8501297897837,211.154401362026,110.457455712734,13.8156719079919,-0.200118294859861,2.31670578462698,1,138.156719079919,110.457455712734,12.1334493523893,-193.437720924632,0,0,-193.437720924632,16.0128675758634,15.8127492810035,79.0002125782318,553.001488047622,126.501994248028,92.5806586781009,83.8156719079919
A,E1_lab_soleado,02-07-2025,4,A_E1_lab_soleado_s4_20260902_011842.mat,-160.431581148363,4.62688385844988,44.8748962412285,91.9842228071138,155.913076889113,2421.14363937368,44.7089522030774,31.5823912053207,32.8401602592,4,0,74.6504720720616,41.8955786490829,39.7298642376824,0,10.4585706562763,3.05741125628132e-15,48.0445828173285,204.417535617748,22.636538399657,146.128056079148,19.2656679338242,179.697249082187,123.566722677957,17.8166894571488,-4.20453976069204,2.96157329650861,1,178.166894571488,123.566722677957,-13.8223687588192,-146.609212389544,0,0,-146.609212389544,16.0128675758634,11.8083278151714,58.9941945587328,412.959361911129,94.4666225213709,108.512205126478,87.8166894571488
A,E1_lab_soleado,02-07-2025,5,A_E1_lab_soleado_s5_20260902_011903.mat,-194.00451926289,4.56057631908847,37.0713257982087,92.4150224162414,119.983263920629,2763.88340137396,41.2402904683031,27.5759231025768,27.900136152,5,0,80.2073147687004,54.7581377686537,23.5876899572922,0,10.4585706562763,2.99553206405412e-15,43.5272739898844,225.765937951898,59.4309400158622,125.762101878616,14.9689468311573,208.973466094047,124.758623344832,16.3134033146998,-3.36136076273242,3.04097492470188,1,163.134033146998,124.758623344832,-8.57374644536075,-185.430772817529,0,0,-185.430772817529,16.0128675758634,12.651506813131,63.2067017512887,442.446912259021,101.212054505048,107.683413737492,86.3134033146997
A,E1_lab_soleado,02-07-2025,6,A_E1_lab_soleado_s6_20260902_011923.mat,-177.25311190601,4.64663476284949,37.6468212619795,85.3564364440256,259.688909366616,2738.60712819551,45.5325535362857,29.1159872179391,27.4801341024,8,0,80.5589285737233,53.6389904737295,20.9048506383028,0,10.4585706562763,3.2054646350183e-15,46.7645050404509,204.877322497279,65.1061841781117,135.291358361557,30.1815271355931,207.434639041603,116.221856409679,13.727767465682,-0.200055545307048,1.81670761457045,1,137.27767465682,116.221856409679,12.7587552105412,-190.011867116551,0,0,-190.011867116551,16.0128675758634,15.8128120305564,79.0005260738753,553.003682517127,126.502496244451,97.3099656789951,83.727767465682
A,E1_lab_soleado,02-07-2025,7,A_E1_lab_soleado_s7_20260902_011944.mat,-218.915038318763,4.40798839828255,33.6990800733201,97.9284955979517,27.2684701500806,2911.99543619112,30.4147985514288,20.2578491365943,23.0201123376,6,0,84.4710461576893,51.1776555881925,4.41545815441951,0,10.4585706562763,3.04726899960098e-15,33.0898947928843,205.87146017034,14.8701028288354,89.2963639682659,3.08845102801013,222.003489346773,113.260883761057,18.7110461013025,-5.7691048036525,3.03934535612033,1,187.110461013025,113.260883761057,-27.0797718714734,-191.835266447289,0,0,-191.835266447289,16.0128675758634,10.2437627722109,51.1776555881925,358.243589117348,81.9501021776872,100.474914808014,88.7110461013025
A,E1_lab_soleado,02-07-2025,8,A_E1_lab_soleado_s8_20260902_012004.mat,-222.353675312109,4.55165373806902,32.0276738083707,97.8683017404257,29.044383847211,2985.40508753437,27.9396567549009,19.2352132940134,16.3600798368,6,0,84.8852750600754,60.8434092335325,3.23144408050833,0,10.4585706562763,2.64321759811701e-15,30.0910869087163,204.916189868299,131.68762384192,87.5520304922508,3.35132560405009,225.705000916159,115.386355643826,7.20574086036746,-0.19974096987373,3.0410872883691,1,72.0574086036746,115.386355643826,5.88506983933466,-228.238745151443,0,0,-228.238745151443,16.0128675758634,15.8131266059897,79.0020976871136,553.014683809795,126.505012847917,89.0848907265946,77.2057408603674
A,E1_lab_soleado,02-07-2025,9,A_E1_lab_soleado_s9_20260902_012025.mat,-183.84524804632,4.13460671095631,45.714473148166,99.8267033125187,3.35723203089284,2384.26867407852,52.4643024688279,32.8686010729116,26.6601301008,5,0,83.8753070915032,57.2885779572808,15.4894040578234,0,10.4585706562763,3.39760319871337e-15,40.2078679644912,205.930429545255,132.027042172206,135.898738575806,0.336040506538812,184.181288552858,100.094513410633,7.27478039970161,3.403541427725,2.73195324473957,1,72.7478039970161,100.094513410633,33.7818218602961,-217.627069906616,0,0,-217.627069906616,16.0128675758634,19.4164090035884,97.0040320965633,679.028224675943,155.331272028707,77.3478154302169,77.2747803997016
A,E1_lab_soleado,02-07-2025,10,A_E1_lab_soleado_s10_20260902_012045.mat,-221.632274700621,4.09199318161549,35.3318888240648,99.7548536636973,3.35346031971106,2840.2810220382,33.3313355198301,20.9956591647581,15.8200772016,3,0,87.6337980296025,62.7779801531292,3.27426765893913,0,10.4585706562763,3.25126729852643e-15,27.142046967049,232.524454500557,45.3052327491272,85.914094145713,0.350293923943491,221.982568624565,104.457453062594,18.3419904728044,3.40336337105029,1.71137396302701,1,183.419904728044,104.457453062594,44.47052544839,-266.102800149011,0,0,-266.102800149011,16.0128675758634,19.4162309469137,97.0031425286013,679.021997700209,155.32984757531,92.2797932326912,88.3419904728044
