hora,probabilidad
0,0.0064
1,0.008533333333333334
2,0.0037333333333333333
3,0.0026666666666666666
4,0.0021333333333333334
5,0.006933333333333333
6,0.016
7,0.018666666666666668
8,0.034666666666666665
9,0.055466666666666664
10,0.0528
11,0.07466666666666667
12,0.07093333333333333
13,0.06613333333333334
14,0.06826666666666667
15,0.08106666666666666
16,0.07733333333333334
17,0.07946666666666667
18,0.0832
19,0.0608
20,0.042133333333333335
21,0.048
22,0.0256
23,0.0144
