energia_kwh
9.632
3.993
4.567
5.591
6.4
4.431
4.641
7.910825
10.83
2.071
6.40705
2.753
10.867
5.869
5.156
6.41
9.078
6.691
10.567
9.349
3.863
5.195
13.229
9.713
4.127
3.608
8.032
3.8
12.964
10.101
13.453
8.315
4.305
7.679
4.536
8.37
11.877
6.344
8.643
11.365
14.733
6.248
6.303
8.076
9.063
12.425
8.732
6.34
13.173
10.036
5.441
4.585
6.282
11.368
7.708
4.823
11.637
11.139
6.641
13.413
18.879
11.877
9.618
16.045
8.66
18.29
4.329
5.229
6.911
13.776
7.136
2.248
5.991
4.661
5.144
13.389
8.32
17.973
5.158
7.086
19.916
19.35
13.663
7.177
18.5
6.689
6.893
5.757
17.642
10.929
2.862
9.917
13.408
15.822
5.871
19.381
6.935
6.287
13.159
4.912
17.032
6.033
8.576
5.085
12.158
9.184
9.925
19.778
15.315
13.898
13.013
10.089
8.427
11.066
9.132
11.921
21.788
6.531
20.036
23.592
17.93
3.527
10.325
4.04
7.7263
12.78
14.835
9.366
25.045
5.15965
11.874
20.863
21.997
8.02
24.963
16.011
11.121
14.347
12.595
14.738
20.231
10.15
19.819
7.658
11.07
17.075
10.391
16.548
15.25
11.063
21.933
11.396
25.551
6.48
24.398
26.612
11.432
24.997
17.879
14.048
13.112
16.46185
18.982
14.499
25.929
22.416
26.968
25.91
16.135
27.811
26.81
13.849
5.355
9.205
9.375
24.305
8.816
11.501
17.48
12.032
3.814
16.135
9.122
5.8769
23.764
7.43
9.847
9.152
5.869
27.378
14.163
27.999
9.626
14.446
15.454
9.27
26.855
11.165
13.929
12.481
18.442
7.593
10.716
22.796
19.498
9.511
21.099
11.274
9.187
20.022
14.111
26.775
15.145
26.031
13.686
17.17
15.914
16.198
3.729
27.71
25.871
12.014
7.317
8.344
7.925
29.985
19.966
26.838
10.721
8.699
19.775
32.711
27.292
17.564
18.929
22.202
19.264
10.927
16.91
18.345
18.586
8.565
11.01
28.377
28.086
28.472
26.913
12.313
15.78
27.09
12.421
15.487
17.336
12.343
16.105
19.861
26.038
12.828
8.83
17.608
11.356
14.674
17.803
17.518
7.619
9.271
26.776
20.913
22.678
16.252
15.564
13.386
22.007
8.568
22.072
14.938
13.763
24.473
9.784
26.038
16.32
9.625
13.004
13.564
10.642
23.18
20.307
18.148
19.378
17.472
33.841
20.09
13.569
22.348
12.139
17.3172
15.375
18.558
22.376
14.011
11.745
34.538
11.933
14.19
14.522
14.446
27.502
6.251
16.372
20.335
4.4281999999999995
9.657
20.207
29.32
28.584
12.9713
15.081
33.636
32.206
28.578
14.112
20.414
11.676350000000001
25.533
2.904
25.04
18.769
15.394
23.151
14.253
35.427
10.788
34.704
20.649
26.993
21.954
11.189425
30.046
12.453
25.73
26.552
16.047
21.873
29.404
19.905
33.302
41.613
13.621
20.844
37.772
35.848
12.35
8.975
14.003
11.807
13.477
7.18
20.346
13.428
25.892
23.119
7.562
24.509
8.947
17.686
32.903
17.843
25.212
13.927
20.558
19.781
23.836
11.98
9.707799999999999
33.218
22.825
35.549
16.345
30.759
21.706
13.209
18.475
10.402
21.097
22.281
25.598
35.65
38.32
31.543
27.369
16.795
17.333
38.388
29.312
19.948
15.48
13.178
17.985
21.127
11.712
22.827
41.368
38.763
25.761
25.831
11.272
19.638
30.618
34.158
37.991
15.877
1.847
16.827
19.24
17.331
12.513
39.343
24.357
23.851
22.762
25.358
20.673
38.63
34.472
4.0847750000000005
12.514
18.553
19.557
25.595
32.426
7.21
27.679
15.717
14.042
18.962
17.645
25.536
16.822
15.26
14.942
12.711
15.914
4.644
24.43
33.687
39.367
12.919
18.131
27.604
11.644
31.374
14.345
24.473
43.602
12.194
41.841
34.466
28.458
26.7
7.376
31.131
33.204
17.938
11.025
15.832
6.689
42.328
43.14
11.577
18.363
26.56
38.684
43.133
29.056
14.072
21.388
23.616
33.626
43.658
37.711
14.324
28.421
29.653
40.964
13.666
30.649
33.353
23.181
41.385
19.698
26.135
25.528
25.03
40.527
28.24
23.707
43.623
25.922
14.192
37.488
32.765
10.601
6.222
32.641
40.863
17.978
13.739
9.019
39.299
26.47
20.229
27.822
14.556
21.601
23.403
17.297
27.065
14.488
19.808
39.328
19.351
32.79
24.939
13.435
34.316
33.618
15.996
40.847
40.341
34.583
13.933
28.097
23.345
17.938
13.331
15.27
5.142
25.494
15.469
27.308
21.271
24.495
11.301
14.683
43.38
34.719
23.315
45.439
24.975
14.381
30.065
8.628
20.331
23.466
19.362
28.361
18.393
17.865
28.353
42.558
36.732
7.964
15.06
22.673
41.671
15.158
23.084
34.333
21.853
21.448
39.98
8.229
34.9
33.679
31.687
22.106
30.724
32.121
10.578
16.596
13.124
34.329
11.266
15.128
14.3
12.382
16.297
28.854
17.847
41.236
33.592
21.286
19.951
26.197
45.178
20.517
31.965
42.102
17.003
41.083
8.123
27.211
48.722
16.949
15.567
4.096
17.876
23.476
48.878
21.296
29.293
24.141
16.586
52.929
33.551
13.413
8.467
16.508
40.393
15.476
22.73
35.163
19.705
13.917
39.277
18.604
24.148
30.427
23.617
8.462
19.958
21.267
14.495
50.958
16.619
16.85
7.341
17.173
13.925
29.33
15.945
31.142
21.104
53.064
27.282
8.203
39.929
13.259
16.969
29.223
23.389
31.353
16.792
27.299
29.146
38.685
32.143
24.897
33.88
35.992
24.344
13.9
27.23
31.484
31.558
32.523
37.951
15.995
25.975
29.652
33.722
15.398
24.674
20.032
43.392
32.74
37.132
52.582
40.537
46.113
26.634
37.248
10.697
22.525
50.793
9.028
12.502
33.611
33.632
24.751
10.006
43.621
29.81
22.594
43.403
21.83
24.459
12.116
17.654
36.753
32.57
18.938
37.305
38.682
18.297
27.529
18.263
51.553
43.683
22.791
18.978
27.759
57.206
49.672
28.197
27.956
25.285
34.897
20.358
17.808
16.089
18.543
19.498
29.57
34.72
6.606
27.59
20.103
29.884
46.103
44.285
18.495
24.433
53.157
52.895
25.475
23.456
20.108
9.066
28.146
24.246
22.533
18.309
26.235
20.679
19.926
28.35
22.835
17.716
27.168
28.072
35.477
9.732
28.595
29.714
40.735
38.834
29.989
33.667
22.356
27.605
16.22
59.587
12.413
21.921
37.089
34.218
33.368
16.749
41.294
33.812
42.135
41.05
31.652
24.284
35.377
37.512
37.194
26.663
27.926
36.803
55.168
38.492
20.558
30.731
36.57
30.04
18.152
16.404
58.414
8.84
21.238
32.029
10.039
32.429
60.577
9.974
32.294
55.143
50.06
42.381
41.069
37.589
21.458
23.968
43.138
25.84
37.561
35.958
46.932
31.484
48.2348
37.804
9.219
18.773
20.739
29.366
23.089
31.184
17.893
25.497
38.468
26.51
32.459
21.565
48.991
39.414
26.993
23.326
20.961
16.038
26.833
29.383
41.142
21.355
46.945
45.71
19.864
42.601
19.003
49.457
34.292
21.189
35.189
29.629
10.418
31.26
15.309
36.018
26.072
27.854
24.192
25.164
41.25
12.072
49.28
38.101
42.632
58.047
14.989
43.18
45.343
17.22
42.429
39.504
31.064
32.569
25.054
44.345
27.63
22.672
15.988
30.799
46.455
37.079
26.745
32.751
10.649
34.482
10.008
4.776
17.085
53.096
10.731
34.255
23.103
34.374
10.384
46.739
24.661
34.267
34.418
36.804
21.432
38.702
32.411
37.66
17.13
49.06
38.035
37.529
24.818
46.673
26.798
34.508
50.728
31.122
20.217
20.979
13.235
31.31
25.466
24.697
24.416
16.575
22.078
27.131
38.942
42.794
37.618
40.978
34.379
13.647
24.128
14.414
41.056
12.159
63.631
25.047
29.837
43.317
29.368
39.223
10.88
60.341
39.109
26.598
16.784
24.96
32.539
52.751
58.603
17.049
37.211
30.264
30.152
29.157
24.777
44.531
10.68
12.587
42.443
42.518
37.348
26.653
52.19
29.263
39.686
45.951
16.785
43.178
45.699
32.834
49.069
23.161
44.657
45.005
23.047
32.32
20.427
44.357
39.58
15.655
38.783
21.606
23.977
38.502
28.688
7.984
36.61
21.869
30.366
23.871
25.811
55.99
66.782
19.349
28.451
11.405
26.056
38.027
11.395
16.678
43.541
28.594
44.7
32.356
33.632
51.692
28.968
39.321
31.008
34.013
22.118
52.104
19.076
35.638
48.483
51.317
11.724
11.386
65.445
50.454
26.473
24.12
24.449
27.337
12.816
49.876
47.449
46.665
40.916
25.95
42.161
35.9
26.451
15.999
33.512
46.491
11.512
29.11
37.982
21.314
10.873
24.367
18.824
32.05
51.555
54.508
38.015
36.256
26.173
28.367
35.939
42.499
12.794
56.729800000000004
18.413
34.172
41.566
40.25
42.261
39.227
54.061
22.128
61.794
61.29
41.227
46.048
46.563
48.222
24.789
24.024
37.248
50.68
19.022
19.149
24.476
38.876525
59.356
31.741
66.604
6.72445
16.777
23.465
38.843
10.796
62.545
31.945
55.804
28.803
28.526
22.33
11.844
10.641
26.029
29.894
38.635
33.594
57.734
23.488
43.204
57.344
38.514
21.976
34.199
69.606
41.843
48.482
26.636
38.62
32.903
22.642
36.025
45.91225
23.927
60.025
45.384
47.961
45.101
53.205
17.363
48.202
27.852
32.378
42.28
42.074
24.1
36.373
57.605
30.731
19.0
40.617
28.696
21.84
24.176
24.668
29.505
44.876
47.019
70.921
37.563
37.96
40.507
63.951
60.103
60.628
36.553
7.45815
32.71455
30.586
46.218
55.663
22.127
56.303
16.305
42.756
28.589
36.512
55.705
14.951
32.909
51.272
25.798
48.943
53.477
32.792
56.214
29.277
35.476
21.112
49.411
47.194
48.628
49.735
48.875
59.335
36.383
29.025
34.229
17.042
39.761
56.348
39.254
39.226
46.554
38.641
31.979
41.086
58.269
23.783
38.549
16.8
40.843
44.848
48.599
46.726
41.785
36.018
66.791
44.117
33.8
50.697
29.158
47.322
22.343
33.345
40.124
41.71
19.242
41.142
53.408
15.41
48.93
21.999
52.442
49.937
51.741
47.664
50.133
37.651
37.038
43.164
45.96
56.496
50.22
47.603
17.278
33.41
17.818
33.766
39.449
54.882
3.454
12.066
45.493
49.532
49.276900000000005
33.353
43.306
46.753
53.892
27.867
41.971
34.915
27.592
17.673
49.552
37.983
32.62
15.689
41.637
48.668
35.905
56.467
20.746
24.928
39.774
49.979
29.711
36.802
58.59
25.157
43.664
34.58
47.188
50.047
26.782
23.475
47.179
57.286
25.959
47.486
74.326
60.657
43.69
33.532
33.038
40.653
15.321
34.375
51.125
42.382
26.937
45.316
6.058
39.831
53.463
18.446
35.029
43.713
27.058
33.14
33.086
24.737
29.185
41.438
56.279
48.137699999999995
40.678
31.837
34.012
54.865
50.521
43.608
11.735
42.294
55.786
22.184
59.124
36.579
33.62
35.249
26.011
16.148
27.196
53.65
38.958
49.51
46.803
30.24
37.951
45.582
37.027
27.481
57.789
26.537
57.166
38.992
25.56
63.155
37.891
23.19
26.042
22.702
46.16
22.915
50.937
40.997
40.369
33.469
33.422
74.367
31.485
33.225
67.88
29.266
52.668
46.119
56.727
58.245
38.897
31.093
24.474
53.27
48.029
41.026
38.943
50.378
70.26
75.7
34.923
42.22
63.2725
40.555
51.834
50.62
40.571
41.473
45.52
47.929
45.455
9.768
26.64
51.515
56.63
56.677
28.082
23.069
31.55
50.983
45.944
39.464
36.78625
43.552
37.957
40.644
38.022
56.394
51.245
42.864
47.044
17.708
19.924
56.036
23.11
17.793
52.478
32.984
47.691
43.909
68.207
52.145
73.247
31.919
59.292
54.152
56.248
40.542
52.818
29.206
24.515
11.95
71.074
24.186
48.761
59.172
43.584
41.921
58.872
37.758
27.687
60.96
46.126
39.096
44.957
29.216
29.207
13.906
61.878
53.141
46.346
42.514
59.81
53.765
36.128
63.484
55.309
56.737
47.795
23.359
27.113
52.357
52.727
47.537
58.148
11.59
34.749
65.201
52.223
22.113
21.004
54.967
38.967
26.523
53.057
43.195
56.669
18.986
20.719
12.24
50.86
53.479
43.756
43.187
45.752
24.47
32.073
23.525
22.998
49.045
50.172
57.452
31.585
51.274
33.715
44.303
59.64
23.704
23.78
42.618
49.189
58.409
54.818
51.114
23.709
29.304
47.767
55.794
43.502
46.496
39.048
31.003
19.466
55.238
24.668
43.514
52.643
60.837
36.937
42.663
43.597
55.53
